Service Code;Service Name;Role;Region;2024 Q1_WL;2024 Q2_WL;2024 Q3_WL;2024 Q4_WL;2025 Q1_WL;2025 Q2_WL;2025 Q3_WL;2025 Q4_WL;2026 Q1_WL;2026 Q2_WL;2026 Q3_WL;2026 Q4_WL;2024 Q1_HC;2024 Q2_HC;2024 Q3_HC;2024 Q4_HC;2025 Q1_HC;2025 Q2_HC;2025 Q3_HC;2025 Q4_HC;2026 Q1_HC;2026 Q2_HC;2026 Q3_HC;2026 Q4_HC;2024 Q1_110A;2024 Q2_110A;2024 Q3_110A;2024 Q4_110A;2025 Q1_110A;2025 Q2_110A;2025 Q3_110A;2025 Q4_110A;2026 Q1_110A;2026 Q2_110A;2026 Q3_110A;2026 Q4_110A;2024 Q1_AD10;2024 Q2_AD10;2024 Q3_AD10;2024 Q4_AD10;2025 Q1_AD10;2025 Q2_AD10;2025 Q3_AD10;2025 Q4_AD10;2026 Q1_AD10;2026 Q2_AD10;2026 Q3_AD10;2026 Q4_AD10;2024 1Q_Tops_110A;2024 2Q_Tops_110A;2024 3Q_Tops_110A;2024 4Q_Tops_110A;2024 1Q_Tops_AD10;2024 2Q_Tops_AD10;2024 3Q_Tops_AD10;2024 4Q_Tops_AD10;2025 1Q_Tops_110A;2025 2Q_Tops_110A;2025 3Q_Tops_110A;2025 4Q_Tops_110A;2025 1Q_Tops_AD10;2025 2Q_Tops_AD10;2025 3Q_Tops_AD10;2025 4Q_Tops_AD10;2026 1Q_Tops_110A;2026 2Q_Tops_110A;2026 3Q_Tops_110A;2026 4Q_Tops_110A;2026 1Q_Tops_AD10;2026 2Q_Tops_AD10;2026 3Q_Tops_AD10;2026 4Q_Tops_AD10
DB1100;CQCI;CLIA; ;40.35145494505493;44.27537232234432;45.946871948051935;41.68889728571428;61.34181571205357;55.40608958241757;57.416243370129855;60.707896844155854;54.11472804241073;59.0904653934066;64.44092881168831;66.95081666883118;35.411434388278394;34.6153785787546;35.99994554112557;36.749944170274205;37.464866316964326;37.500065076923065;37.500024285714325;37.50002428571422;37.50010714285712;37.500065076923065;37.50002428571432;37.50002428571433;0.7499975531135532;0.7499994725274726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1100;CQCI;CPQM; ;35.71886614798535;36.60692330549451;37.81038160894662;39.27830390476191;38.41848438616071;37.83019833626374;38.53974716233766;37.1126807012987;36.42286362723215;34.96010485714286;34.37673068831169;32.863487149350654;20.872342285714275;24.752310842490843;26.127277041847044;26.100005223665228;26.10004272321428;26.09998087912087;26.10000753246753;26.100052727272725;26.100000000000005;26.099980879120864;26.10000753246753;26.10000753246752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1200;COLO;PL; ;53.27819117802199;47.57189605421247;45.69333364069266;45.663974329004326;39.38009635714286;38.22234232747253;37.98618555844156;38.072229123376616;33.81644713392857;31.702017;31.89644505194805;30.11766244805195;42.11315254212453;39.149988205128224;38.72728236652237;37.66364554112554;37.35005738839284;37.34994705494501;37.34999636363635;37.35007545454541;37.3499777678572;37.34994705494501;37.34999636363635;37.34999636363635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1200;COLO;PL-CSC; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1069968181818181;0.1999512337662337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1200;COLO;SAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0320996103896103;0.0599848051948051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1200;COLO;SCI; ;0.0;7.899998666666666;8.800001558441558;8.800001558441558;8.60000049107143;8.600001626373626;8.600000844155845;8.599998961038962;0.0;0.0;0.0;0.0;0.0;4.450005699633699;3.600002871572871;3.600002871572872;3.6000075669642864;3.6000045494505493;3.6000053896103896;3.6000072727272734;3.600005625;3.6000045494505493;3.6000053896103896;3.6000053896103896;0.0;3.9999971868131863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1300;CDOC;EDS; ;28.537051900366293;24.013393106227102;30.25280767965368;25.36282342279942;27.98502259151787;28.622649896703305;19.518706857142863;29.41382472727274;29.48466159375;21.227503430769232;19.391005357142856;26.16302453246753;13.02232131868132;13.676939355311353;15.030015627705628;15.03001562770563;15.030028727678571;15.030026307692308;15.030023961038964;15.03002396103896;15.03002872767857;15.030026307692308;15.030023961038966;15.030023961038964;2.0000024322344325;1.9999985934065931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0000072967032985;5.9999957802197805;6.000004155844158;6.000004155844158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1300;CDOC;MWD; ;13.812883765567769;12.788039575091576;14.305891861471864;14.062978542568542;16.760695647321427;13.88027063736264;12.843256363636364;11.850369805194806;12.4327621875;11.906390353846154;11.569990272727274;12.506767103896104;3.730002827838828;3.7300047472527473;4.554248080808081;5.43000481962482;5.430009843750001;5.430010351648352;5.43000896103896;5.430007077922077;5.43000984375;5.430010351648352;5.43000896103896;5.43000896103896;8.00000972893773;8.446146783882783;9.000006233766236;9.000006233766234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1300;CDOC;QCS; ;2.0099031531135534;1.7869384659340657;1.9452957474747476;1.6200261500721502;1.6677783482142858;1.4360296483516484;1.13334674025974;1.2792099610389611;1.4332849955357143;1.153041975824176;0.8770387142857143;0.7334179090909091;0.8500009377289378;0.8500009377289378;0.8500009668109668;0.8500009668109668;0.8500016517857143;0.8500014725274725;0.8500012987012988;0.8500012987012987;0.8500016517857143;0.8500014725274725;0.8500012987012987;0.8500012987012988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1300;CDOC;REM; ;48.82584456117215;45.57861041904764;44.11703086724387;45.35254139393939;41.73346616517856;42.92061537362637;45.098808227272734;43.1906313896104;40.24397509151786;38.08172891208792;36.03907942207792;34.810328142857145;17.670015135531138;18.912330842490828;21.0700210966811;22.12381118326119;22.420043705357145;22.42003958241758;22.42003558441559;22.420035584415583;22.420043705357145;22.420039582417584;22.42003558441559;22.420035584415597;8.800008014652017;8.799994578754577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0000072967032985;5.99999578021978;6.000004155844158;6.000004155844158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
