Service Name;Service Code;Role;Region;2024 Q1;2024 Q2;2024 Q3;2024 Q4;2025 Q1;2025 Q2;2025 Q3;2025 Q4;2026 Q1;2026 Q2;2026 Q3;2026 Q4;Info
ALL;ALL;AA; ;31.0;31.0;29.0;29;25;25;25;25;25;25;25;25;Total In-House Workforce - Heads
ALL;ALL;AA; ;27.0;27.0;25.0;25;25;25;25;25;25;25;25;25;Registered Headcount - Heads
ALL;ALL;AA; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;AA; ;4.0;4.0;4.0;4;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;AA; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;AA; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;AA; ;31.0;31.0;29.0;29;25;25;25;25;25;25;25;25;Total In-House Workforce - Heads with TOPs
ALL;ALL;ALL; ;234.3;230.8;217.0;206;185;185;185;185;185;185;185;185;Total In-House Workforce - Heads
ALL;ALL;ALL; ;186.3;185.7;185.0;185;185;185;185;185;185;185;185;185;Registered Headcount - Heads
ALL;ALL;ALL; ;30.7;28.5;15.0;4;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;ALL; ;17.3;16.6;17.0;17;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;ALL; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;ALL; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;ALL; ;234.3;230.8;217.0;206;185;185;185;185;185;185;185;185;Total In-House Workforce - Heads with TOPs
ALL;ALL;EXP; ;84.3;89.1;88.0;77;62;62;62;62;62;62;62;62;Total In-House Workforce - Heads
ALL;ALL;EXP; ;56.3;61.0;62.0;62;62;62;62;62;62;62;62;62;Registered Headcount - Heads
ALL;ALL;EXP; ;16.7;17.5;15.0;4;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;EXP; ;11.3;10.6;11.0;11;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;EXP; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;EXP; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;EXP; ;84.3;89.1;88.0;77;62;62;62;62;62;62;62;62;Total In-House Workforce - Heads with TOPs
ALL;ALL;GM; ;29.3;29.0;29.0;29;29;29;29;29;29;29;29;29;Total In-House Workforce - Heads
ALL;ALL;GM; ;29.3;29.0;29.0;29;29;29;29;29;29;29;29;29;Registered Headcount - Heads
ALL;ALL;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;GM; ;29.3;29.0;29.0;29;29;29;29;29;29;29;29;29;Total In-House Workforce - Heads with TOPs
ALL;ALL;LM; ;30.7;24.0;23.0;23;23;23;23;23;23;23;23;23;Total In-House Workforce - Heads
ALL;ALL;LM; ;30.7;24.0;23.0;23;23;23;23;23;23;23;23;23;Registered Headcount - Heads
ALL;ALL;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;LM; ;30.7;24.0;23.0;23;23;23;23;23;23;23;23;23;Total In-House Workforce - Heads with TOPs
ALL;ALL;QM; ;28.0;28.0;21.0;21;21;21;21;21;21;21;21;21;Total In-House Workforce - Heads
ALL;ALL;QM; ;20.0;20.0;21.0;21;21;21;21;21;21;21;21;21;Registered Headcount - Heads
ALL;ALL;QM; ;8.0;8.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;QM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;QM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;QM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;QM; ;28.0;28.0;21.0;21;21;21;21;21;21;21;21;21;Total In-House Workforce - Heads with TOPs
ALL;ALL;TPART; ;5.0;5.0;5.0;5;5;5;5;5;5;5;5;5;Total In-House Workforce - Heads
ALL;ALL;TPART; ;5.0;5.0;5.0;5;5;5;5;5;5;5;5;5;Registered Headcount - Heads
ALL;ALL;TPART; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;TPART; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;TPART; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;TPART; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;TPART; ;5.0;5.0;5.0;5;5;5;5;5;5;5;5;5;Total In-House Workforce - Heads with TOPs
ALL;ALL;TRAIN; ;26.0;24.7;22.0;22;20;20;20;20;20;20;20;20;Total In-House Workforce - Heads
ALL;ALL;TRAIN; ;18.0;19.7;20.0;20;20;20;20;20;20;20;20;20;Registered Headcount - Heads
ALL;ALL;TRAIN; ;6.0;3.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;TRAIN; ;2.0;2.0;2.0;2;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;TRAIN; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;TRAIN; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;TRAIN; ;26.0;24.7;22.0;22;20;20;20;20;20;20;20;20;Total In-House Workforce - Heads with TOPs
ALL;ALL;AA;ALL;31.0;31.0;29.0;29;25;25;25;25;25;25;25;25;Total In-House Workforce - Heads
ALL;ALL;AA;ALL;27.0;27.0;25.0;25;25;25;25;25;25;25;25;25;Registered Headcount - Heads
ALL;ALL;AA;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;AA;ALL;4.0;4.0;4.0;4;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;AA;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;AA;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;AA;ALL;31.0;31.0;29.0;29;25;25;25;25;25;25;25;25;Total In-House Workforce - Heads with TOPs
ALL;ALL;ALL;ALL;432.3;431.8;419.0;407;362;362;362;362;362;362;362;362;Total In-House Workforce - Heads
ALL;ALL;ALL;ALL;361.3;362.7;363.0;362;362;362;362;362;362;362;362;362;Registered Headcount - Heads
ALL;ALL;ALL;ALL;53.7;52.5;39.0;28;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;ALL;ALL;17.3;16.6;17.0;17;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;ALL;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;ALL;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;ALL;ALL;432.3;431.8;419.0;407;362;362;362;362;362;362;362;362;Total In-House Workforce - Heads with TOPs
ALL;ALL;EXP;ALL;177.3;184.8;184.7;173;147;147;147;147;147;147;147;147;Total In-House Workforce - Heads
ALL;ALL;EXP;ALL;139.3;145.7;147.7;147;147;147;147;147;147;147;147;147;Registered Headcount - Heads
ALL;ALL;EXP;ALL;26.7;28.5;26.0;15;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;EXP;ALL;11.3;10.6;11.0;11;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;EXP;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;EXP;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;EXP;ALL;177.3;184.8;184.7;173;147;147;147;147;147;147;147;147;Total In-House Workforce - Heads with TOPs
ALL;ALL;GM;ALL;45.3;45.0;46.0;46;46;46;46;46;46;46;46;46;Total In-House Workforce - Heads
ALL;ALL;GM;ALL;45.3;45.0;46.0;46;46;46;46;46;46;46;46;46;Registered Headcount - Heads
ALL;ALL;GM;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;GM;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;GM;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
ALL;ALL;GM;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
ALL;ALL;GM;ALL;45.3;45.0;46.0;46;46;46;46;46;46;46;46;46;Total In-House Workforce - Heads with TOPs
ALL;ALL;LM;ALL;102.7;96.3;94.3;94;94;94;94;94;94;94;94;94;Total In-House Workforce - Heads
ALL;ALL;LM;ALL;102.7;96.3;94.3;94;94;94;94;94;94;94;94;94;Registered Headcount - Heads
ALL;ALL;LM;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
ALL;ALL;LM;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
ALL;ALL;LM;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
