Service Name;Service Code;Role;Region;2024 Q1;2024 Q2;2024 Q3;2024 Q4;2025 Q1;2025 Q2;2025 Q3;2025 Q4;2026 Q1;2026 Q2;2026 Q3;2026 Q4;Info
CSO+EGDS;CSO+EGDS;ALL; ;233.3;228.0;236.6;232;201;201;201;201;201;201;201;201;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL; ;48.0;45.2;42.0;31;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL; ;185.3;182.8;194.6;201;201;201;201;201;201;201;201;201;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL; ;30.7;28.6;25.0;14;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL; ;17.3;16.6;17.0;17;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL; ;233.3;228.0;236.6;232;201;201;201;201;201;201;201;201;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL; ;48.0;45.2;42.0;31;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;431.3;430.4;435.2;430;373;373;373;373;373;373;373;373;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;72.0;70.2;67.9;57;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;359.3;360.2;367.3;373;373;373;373;373;373;373;373;373;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;54.7;53.6;50.9;40;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;17.3;16.6;17.0;17;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;431.3;430.4;435.2;430;373;373;373;373;373;373;373;373;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;72.0;70.2;67.9;57;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;52.0;53.0;51.0;51;45;45;45;45;45;45;45;45;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;6.0;6.0;6.0;6;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;46.0;47.0;45.0;45;45;45;45;45;45;45;45;45;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;6.0;6.0;6.0;6;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;52.0;53.0;51.0;51;45;45;45;45;45;45;45;45;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;6.0;6.0;6.0;6;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;EUR;76.7;78.7;79.3;79;73;73;73;73;73;73;73;73;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;5.0;5.0;5.9;6;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;71.7;73.7;73.4;73;73;73;73;73;73;73;73;73;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;5.0;5.0;5.9;6;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;EUR;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;EUR;76.7;78.7;79.3;79;73;73;73;73;73;73;73;73;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;EUR;5.0;5.0;5.9;6;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;LAM;27.3;27.0;26.0;26;24;24;24;24;24;24;24;24;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;2.0;2.0;2.0;2;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;25.3;25.0;24.0;24;24;24;24;24;24;24;24;24;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;2.0;2.0;2.0;2;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;LAM;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;LAM;27.3;27.0;26.0;26;24;24;24;24;24;24;24;24;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;LAM;2.0;2.0;2.0;2;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;NAM;42.0;43.7;42.3;42;30;30;30;30;30;30;30;30;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;11.0;12.0;12.0;12;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;31.0;31.7;30.3;30;30;30;30;30;30;30;30;30;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;11.0;12.0;12.0;12;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;NAM;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;NAM;42.0;43.7;42.3;42;30;30;30;30;30;30;30;30;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;NAM;11.0;12.0;12.0;12;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;AA; ;31.0;29.7;28.0;28;24;24;24;24;24;24;24;24;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;AA; ;4.0;4.0;4.0;4;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;AA; ;27.0;25.7;24.0;24;24;24;24;24;24;24;24;24;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;AA; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;AA; ;4.0;4.0;4.0;4;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;AA; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;AA; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;AA; ;31.0;29.7;28.0;28;24;24;24;24;24;24;24;24;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;AA; ;4.0;4.0;4.0;4;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;EXP; ;83.3;87.5;99.0;92;76;76;76;76;76;76;76;76;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;EXP; ;28.0;28.1;27.0;16;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;EXP; ;55.3;59.4;72.0;76;76;76;76;76;76;76;76;76;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;EXP; ;16.7;17.5;16.0;5;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;EXP; ;11.3;10.6;11.0;11;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;EXP; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;EXP; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;EXP; ;83.3;87.5;99.0;92;76;76;76;76;76;76;76;76;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;EXP; ;28.0;28.1;27.0;16;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;GM; ;29.3;30.3;31.3;32;32;32;32;32;32;32;32;32;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;GM; ;29.3;30.3;31.3;32;32;32;32;32;32;32;32;32;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;GM; ;29.3;30.3;31.3;32;32;32;32;32;32;32;32;32;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;LM; ;30.7;23.0;23.0;24;24;24;24;24;24;24;24;24;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;LM; ;30.7;23.0;23.0;24;24;24;24;24;24;24;24;24;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;110A TOPs
CSO+EGDS;CSO+EGDS;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;AD10 TOPs
CSO+EGDS;CSO+EGDS;LM; ;30.7;23.0;23.0;24;24;24;24;24;24;24;24;24;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;LM; ;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;Total Insourcing - Heads with TOPs
