Service Code;Service Name;Role;Region;2024 Q1;2024 Q2;2024 Q3;2024 Q4;2025 Q1;2025 Q2;2025 Q3;2025 Q4;2026 Q1;2026 Q2;2026 Q3;2026 Q4;Info
ALL;ALL;ALL; ;2468.5;2479.6;2507.6;2482.7;2458.9;2418.8;2386.6;2398.1;2192.4;2155.2;2160.4;2142.4;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;ALL; ;862.7;859.6;893.5;929.8;944.9;945.5;945.7;946.4;947.6;947.6;947.6;947.6;Registered Headcount - FTEs
ALL;ALL;ALL; ;840.6;866.8;503.8;495.3;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;ALL; ;304.8;314.9;301.7;293.9;4.4;3.7;1.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;ALL; ;2008.1;2041.3;1699.0;1719.0;950.3;950.2;947.7;946.4;947.6;947.6;947.6;947.6;Total In-House Workforce - FTEs
ALL;ALL;ALL; ;-460.4;-438.3;-808.6;-763.7;-1508.6;-1468.6;-1438.9;-1451.7;-1244.8;-1207.6;-1212.8;-1194.8;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;ALL; ;57.0;57.9;47.4;45.9;0.6;0.5;0.2;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;ALL; ;81.3;82.3;67.8;69.2;38.6;39.3;39.7;39.5;43.2;44.0;43.9;44.2;In House Coverage %
ALL;ALL;ALL; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;ALL; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;ALL; ;2008.1;2041.3;1699.0;1719.0;950.3;950.2;947.7;946.4;947.6;947.6;947.6;947.6;Total In-House Workforce - FTEs with TOPs
ALL;ALL;ALL; ;-460.4;-438.3;-808.6;-763.7;-1508.6;-1468.6;-1438.9;-1451.7;-1244.8;-1207.6;-1212.8;-1194.8;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;ALL; ;57.0;57.9;47.4;45.9;0.6;0.5;0.2;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;ALL; ;81.3;82.3;67.8;69.2;38.6;39.3;39.7;39.5;43.2;44.0;43.9;44.2;In House Coverage % with TOPS
ALL;ALL;CLIA; ;40.4;44.3;45.9;41.7;61.3;55.4;57.4;60.7;54.1;59.1;64.4;67.0;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;CLIA; ;35.4;34.6;36.0;36.7;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;Registered Headcount - FTEs
ALL;ALL;CLIA; ;0.7;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;CLIA; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;CLIA; ;36.1;35.3;36.0;36.7;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;Total In-House Workforce - FTEs
ALL;ALL;CLIA; ;-4.3;-9.0;-9.9;-5.0;-23.8;-17.9;-19.9;-23.2;-16.6;-21.6;-26.9;-29.5;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;CLIA; ;1.9;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;CLIA; ;89.4;79.7;78.4;88.0;61.2;67.7;65.3;61.8;69.3;63.5;58.2;56.0;In House Coverage %
ALL;ALL;CLIA; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
