Service Code;Service Name;Role;Region;2024 Q1;2024 Q2;2024 Q3;2024 Q4;2025 Q1;2025 Q2;2025 Q3;2025 Q4;2026 Q1;2026 Q2;2026 Q3;2026 Q4;Info
CSO+EGDS;CSO+EGDS;ALL; ;2432.7;2476.2;2520.7;2522.4;2415.1;2424.5;2431.1;2393.7;2227.8;2199.2;2155.5;2122.6;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
CSO+EGDS;CSO+EGDS;ALL; ;864.3;854.0;877.7;966.1;1039.3;1054.3;1072.3;1074.7;1073.2;1073.1;1073.3;1073.3;Registered Headcount - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;842.4;857.4;877.1;834.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;303.5;310.8;315.5;301.9;8.7;5.6;1.7;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;2010.2;2022.2;2070.3;2102.2;1048.0;1059.9;1074.0;1074.7;1073.2;1073.1;1073.3;1073.3;Total In-House Workforce - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;1145.9;1168.2;1192.6;1136.1;8.7;5.6;1.7;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;-422.5;-454.0;-450.4;-420.2;-1367.1;-1364.6;-1357.1;-1319.0;-1154.6;-1126.1;-1082.2;-1049.3;Gap In-House - FTEs (Workforce vs Workload)
CSO+EGDS;CSO+EGDS;ALL; ;57.0;57.8;57.6;54.0;0.8;0.5;0.2;0.0;0.0;0.0;0.0;0.0;Flexibility %
CSO+EGDS;CSO+EGDS;ALL; ;82.6;81.7;82.1;83.3;43.4;43.7;44.2;44.9;48.2;48.8;49.8;50.6;In House Coverage %
CSO+EGDS;CSO+EGDS;ALL; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL; ;2010.2;2022.2;2070.3;2102.2;1048.0;1059.9;1074.0;1074.7;1073.2;1073.1;1073.3;1073.3;Total In-House Workforce - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL; ;1145.9;1168.2;1192.6;1136.1;8.7;5.6;1.7;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL; ;-422.5;-454.0;-450.4;-420.2;-1367.1;-1364.6;-1357.1;-1319.0;-1154.6;-1126.1;-1082.2;-1049.3;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
CSO+EGDS;CSO+EGDS;ALL; ;57.0;57.8;57.6;54.0;0.8;0.5;0.2;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
CSO+EGDS;CSO+EGDS;ALL; ;82.6;81.7;82.1;83.3;43.4;43.7;44.2;44.9;48.2;48.8;49.8;50.6;In House Coverage % with TOPS
CSO+EGDS;CSO+EGDS;ALL;ALL;4151.7;4285.8;4481.3;4587.4;4447.8;4519.9;4609.5;4641.9;4479.0;4445.7;4519.6;4545.1;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
CSO+EGDS;CSO+EGDS;ALL;ALL;1214.3;1208.9;1243.5;1344.6;1425.2;1439.4;1458.6;1462.8;1464.1;1464.0;1464.2;1464.2;Registered Headcount - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;2051.1;2068.0;2115.8;2075.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;307.2;314.4;318.2;304.3;8.7;5.6;1.7;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;3572.6;3591.3;3677.5;3724.6;1433.9;1445.0;1460.3;1462.8;1464.1;1464.0;1464.2;1464.2;Total In-House Workforce - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;2358.3;2382.4;2434.0;2380.0;8.7;5.6;1.7;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;-579.1;-694.5;-803.8;-862.8;-3013.9;-3074.9;-3149.2;-3179.1;-3014.9;-2981.7;-3055.4;-3080.9;Gap In-House - FTEs (Workforce vs Workload)
CSO+EGDS;CSO+EGDS;ALL;ALL;66.0;66.3;66.2;63.9;0.6;0.4;0.1;0.0;0.0;0.0;0.0;0.0;Flexibility %
CSO+EGDS;CSO+EGDS;ALL;ALL;86.1;83.8;82.1;81.2;32.2;32.0;31.7;31.5;32.7;32.9;32.4;32.2;In House Coverage %
CSO+EGDS;CSO+EGDS;ALL;ALL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;3572.6;3591.3;3677.5;3724.6;1433.9;1445.0;1460.3;1462.8;1464.1;1464.0;1464.2;1464.2;Total In-House Workforce - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;2358.3;2382.4;2434.0;2380.0;8.7;5.6;1.7;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;-579.1;-694.5;-803.8;-862.8;-3013.9;-3074.9;-3149.2;-3179.1;-3014.9;-2981.7;-3055.4;-3080.9;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
CSO+EGDS;CSO+EGDS;ALL;ALL;66.0;66.3;66.2;63.9;0.6;0.4;0.1;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
CSO+EGDS;CSO+EGDS;ALL;ALL;86.1;83.8;82.1;81.2;32.2;32.0;31.7;31.5;32.7;32.9;32.4;32.2;In House Coverage % with TOPS
CSO+EGDS;CSO+EGDS;ALL;AP;456.4;492.3;536.4;579.6;577.1;599.4;617.7;634.5;583.2;578.9;606.0;620.3;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
CSO+EGDS;CSO+EGDS;ALL;AP;109.5;112.6;113.4;114.9;116.3;117.2;117.2;117.3;117.2;117.2;117.2;117.2;Registered Headcount - FTEs
CSO+EGDS;CSO+EGDS;ALL;AP;328.1;326.6;339.5;341.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL;AP;437.6;439.2;452.9;456.1;116.3;117.2;117.2;117.3;117.2;117.2;117.2;117.2;Total In-House Workforce - FTEs
