Service Name;Service Code;Role;Region;% Direct_110A;Source_110A;% Direct_AD10;Source_AD10;Missing
STAT;BS1000;PRG; ;;;90.0;RDPM;False
STAT;BS1000;STD-RES; ;100.0;RDPM;;;False
STAT;BS1000;STT; ;100.0;RDPM;90.0;RDPM;False
STAT;BS1000;STT-BM; ;100.0;RDPM;;;False
STAT;BS1000;STT-ECB; ;100.0;RDPM;100.0;RDPM;False
CMEI;BS1001;PRG; ;85.0;RDPM;;;False
CMEI;BS1001;STT; ;80.0;RDPM;;;False
MOF;DB1000;PSA; ;;;;;False
TPO;DB1001;PM; ;;;;;False
CQCI;DB1100;CLIA; ;75.0;RDPM;;;False
CQCI;DB1100;CPQM; ;;;;;False
CQCI;DB1100;IRL; ;;;;;False
CQCI;DB1100;PSA; ;75.0;RDPM;75.0;RDPM;False
CPM;DB1200;CTM; ;90.0;RDPM;;;False
COLO;DB1200;PL; ;;;;;False
CPM;DB1200;PL; ;;;;;False
COLO;DB1200;PL-CSC; ;;;;;False
CPM;DB1200;PSA; ;100.0;RDPM;75.0;RDPM;False
COLO;DB1200;SAM; ;;;;;False
COLO;DB1200;SCI; ;100.0;RDPM;;;False
CPM;DB1200;SCI; ;100.0;RDPM;;;False
CPOEI;DB1201;SCI; ;100.0;RDPM;;;False
CDOC;DB1300;EDS; ;100.0;RDPM;100.0;RDPM;False
CDOC;DB1300;MWD; ;100.0;RDPM;;;False
CDOC;DB1300;QCS; ;;;;;False
CDOC;DB1300;REM; ;100.0;RDPM;100.0;RDPM;False
CDOC;DB1300;RTLM; ;100.0;RDPM;100.0;RDPM;False
CDOC;DB1300;SCI; ;;;;;False
CDOC;DB1300;TT; ;100.0;RDPM;100.0;RDPM;False
CDOC;DB1300;WRI; ;100.0;RDPM;100.0;RDPM;False
OMD;DB1301;COD; ;100.0;RDPM;100.0;RDPM;False
OMD;DB1301;PSA; ;;;;;False
OMD;DB1301;SCI; ;100.0;RDPM;100.0;RDPM;False
OMD;DB1301;SCS; ;;;;;False
EDO;DB1400;CTDM; ;100.0;RDPM;;;False
EDO;DB1400;CTM; ;100.0;RDPM;;;False
EDO;DB1400;DBD; ;100.0;RDPM;;;False
EDO;DB1400;DMP; ;100.0;RDPM;;;False
EDO;DB1400;PSA; ;100.0;RDPM;;;False
EDCO;DB1401;CTM; ;100.0;RDPM;;;False
EDCO;DB1401;PSA; ;100.0;RDPM;;;False
EDCO;DB1401;SDM; ;90.0;RDPM;;;False
TO;DB1500;CTM; ;100.0;RDPM;;;False
