Service Name;Service Code;Role;Region;2024 Q1;2024 Q2;2024 Q3;2024 Q4;2025 Q1;2025 Q2;2025 Q3;2025 Q4;2026 Q1;2026 Q2;2026 Q3;2026 Q4;Info
CSO+EGDS;CSO+EGDS;ALL; ;233.3;227.5;237.1;234.6;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL; ;48.0;44.7;43.5;35.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL; ;185.3;182.8;193.6;198.7;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL; ;30.7;28.9;29.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL; ;17.3;15.8;14.5;16.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL; ;233.3;227.5;237.1;234.6;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL; ;48.0;44.7;43.5;35.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;430.3;429.2;437.0;440.3;381.0;381.0;381.0;381.0;381.0;381.0;381.0;381.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;71.0;68.7;68.4;62.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;359.3;360.5;368.6;377.4;381.0;381.0;381.0;381.0;381.0;381.0;381.0;381.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;53.7;52.9;53.9;46.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;17.3;15.8;14.5;16.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;ALL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;430.3;429.2;437.0;440.3;381.0;381.0;381.0;381.0;381.0;381.0;381.0;381.0;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;71.0;68.7;68.4;62.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;52.0;53.0;52.7;57.0;51.0;51.0;51.0;51.0;51.0;51.0;51.0;51.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;6.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;46.0;47.0;46.7;51.0;51.0;51.0;51.0;51.0;51.0;51.0;51.0;51.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;6.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;52.0;53.0;52.7;57.0;51.0;51.0;51.0;51.0;51.0;51.0;51.0;51.0;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;6.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;EUR;76.7;78.7;78.0;77.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;71.7;73.7;73.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;EUR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;EUR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;EUR;76.7;78.7;78.0;77.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;EUR;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;LAM;27.3;27.0;26.0;26.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;25.3;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;LAM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;LAM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;LAM;27.3;27.0;26.0;26.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;LAM;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;NAM;41.0;43.0;43.2;45.7;32.0;32.0;32.0;32.0;32.0;32.0;32.0;32.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;10.0;11.0;11.9;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;31.0;32.0;31.3;31.7;32.0;32.0;32.0;32.0;32.0;32.0;32.0;32.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;10.0;11.0;11.9;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;ALL;NAM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;NAM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;NAM;41.0;43.0;43.2;45.7;32.0;32.0;32.0;32.0;32.0;32.0;32.0;32.0;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;ALL;NAM;10.0;11.0;11.9;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;AA; ;31.0;29.7;28.0;28.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;AA; ;4.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;AA; ;27.0;25.7;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;AA; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;AA; ;4.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;AA; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;AA; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;AA; ;31.0;29.7;28.0;28.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;AA; ;4.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;EXP; ;83.3;87.0;99.5;94.9;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;EXP; ;28.0;27.6;28.5;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;EXP; ;55.3;59.4;71.0;74.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;EXP; ;16.7;17.8;20.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;EXP; ;11.3;9.8;8.5;10.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
CSO+EGDS;CSO+EGDS;EXP; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;EXP; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;EXP; ;83.3;87.0;99.5;94.9;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;Total In-House Workforce - Heads with TOPs
CSO+EGDS;CSO+EGDS;EXP; ;28.0;27.6;28.5;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads with TOPs
CSO+EGDS;CSO+EGDS;GM; ;29.3;30.3;32.3;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;Total In-House Workforce - Heads
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - Heads
CSO+EGDS;CSO+EGDS;GM; ;29.3;30.3;32.3;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;33.0;Registered Headcount - Heads
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - Heads
CSO+EGDS;CSO+EGDS;GM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - Heads
