Service Code;Service Name;Role;Region;2024 Q1;2024 Q2;2024 Q3;2024 Q4;2025 Q1;2025 Q2;2025 Q3;2025 Q4;2026 Q1;2026 Q2;2026 Q3;2026 Q4;Info
CSO+EGDS;CSO+EGDS;ALL; ;2433.8;2447.6;2479.5;2523.9;2466.8;2456.4;2527.5;2525.3;2497.6;2478.0;2420.2;2392.4;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
CSO+EGDS;CSO+EGDS;ALL; ;863.6;853.2;856.4;896.7;1003.4;1053.9;1089.0;1109.1;1113.2;1113.9;1114.1;1114.8;Registered Headcount - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;838.8;853.0;877.2;897.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;303.2;310.6;311.2;308.3;18.3;9.7;3.6;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;2005.6;2016.8;2044.8;2102.2;1021.7;1063.6;1092.6;1109.1;1113.2;1113.9;1114.1;1114.8;Total In-House Workforce - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;1142.0;1163.6;1188.4;1205.5;18.3;9.7;3.6;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs
CSO+EGDS;CSO+EGDS;ALL; ;-428.2;-430.8;-434.7;-421.7;-1445.1;-1392.8;-1434.9;-1416.2;-1384.4;-1364.1;-1306.1;-1277.6;Gap In-House - FTEs (Workforce vs Workload)
CSO+EGDS;CSO+EGDS;ALL; ;56.9;57.7;58.1;57.3;1.8;0.9;0.3;0.0;0.0;0.0;0.0;0.0;Flexibility %
CSO+EGDS;CSO+EGDS;ALL; ;82.4;82.4;82.5;83.3;41.4;43.3;43.2;43.9;44.6;45.0;46.0;46.6;In House Coverage %
CSO+EGDS;CSO+EGDS;ALL; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL; ;2005.6;2016.8;2044.8;2102.2;1021.7;1063.6;1092.6;1109.1;1113.2;1113.9;1114.1;1114.8;Total In-House Workforce - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL; ;1142.0;1163.6;1188.4;1205.5;18.3;9.7;3.6;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL; ;-428.2;-430.8;-434.7;-421.7;-1445.1;-1392.8;-1434.9;-1416.2;-1384.4;-1364.1;-1306.1;-1277.6;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
CSO+EGDS;CSO+EGDS;ALL; ;56.9;57.7;58.1;57.3;1.8;0.9;0.3;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
CSO+EGDS;CSO+EGDS;ALL; ;82.4;82.4;82.5;83.3;41.4;43.3;43.2;43.9;44.6;45.0;46.0;46.6;In House Coverage % with TOPS
CSO+EGDS;CSO+EGDS;ALL;ALL;4142.3;4220.6;4399.7;4483.0;4406.1;4492.4;4689.3;4808.7;4678.2;4645.6;4705.7;4734.8;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
CSO+EGDS;CSO+EGDS;ALL;ALL;1213.0;1206.3;1217.6;1269.2;1390.6;1440.8;1477.9;1500.7;1507.6;1508.3;1508.5;1509.2;Registered Headcount - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;2046.8;2062.2;2105.9;2195.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;307.6;314.9;315.1;313.2;18.3;9.7;3.6;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;3567.4;3583.4;3638.6;3777.6;1408.9;1450.5;1481.5;1500.7;1507.6;1508.3;1508.5;1509.2;Total In-House Workforce - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;2354.4;2377.1;2421.0;2508.4;18.3;9.7;3.6;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs
CSO+EGDS;CSO+EGDS;ALL;ALL;-574.9;-637.2;-761.1;-705.4;-2997.2;-3041.9;-3207.8;-3308.0;-3170.6;-3137.3;-3197.2;-3225.6;Gap In-House - FTEs (Workforce vs Workload)
CSO+EGDS;CSO+EGDS;ALL;ALL;66.0;66.3;66.5;66.4;1.3;0.7;0.2;0.0;0.0;0.0;0.0;0.0;Flexibility %
CSO+EGDS;CSO+EGDS;ALL;ALL;86.1;84.9;82.7;84.3;32.0;32.3;31.6;31.2;32.2;32.5;32.1;31.9;In House Coverage %
CSO+EGDS;CSO+EGDS;ALL;ALL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;3567.4;3583.4;3638.6;3777.6;1408.9;1450.5;1481.5;1500.7;1507.6;1508.3;1508.5;1509.2;Total In-House Workforce - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;2354.4;2377.1;2421.0;2508.4;18.3;9.7;3.6;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL;ALL;-574.9;-637.2;-761.1;-705.4;-2997.2;-3041.9;-3207.8;-3308.0;-3170.6;-3137.3;-3197.2;-3225.6;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
CSO+EGDS;CSO+EGDS;ALL;ALL;66.0;66.3;66.5;66.4;1.3;0.7;0.2;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
CSO+EGDS;CSO+EGDS;ALL;ALL;86.1;84.9;82.7;84.3;32.0;32.3;31.6;31.2;32.2;32.5;32.1;31.9;In House Coverage % with TOPS
CSO+EGDS;CSO+EGDS;ALL;AP;457.9;484.0;522.3;532.4;532.2;570.5;600.6;631.8;570.3;563.2;593.0;606.1;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
CSO+EGDS;CSO+EGDS;ALL;AP;109.5;112.6;111.7;108.9;110.6;111.6;111.6;111.7;111.6;111.6;111.6;111.6;Registered Headcount - FTEs
CSO+EGDS;CSO+EGDS;ALL;AP;327.2;324.9;336.8;369.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL;AP;0.7;0.7;0.9;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
CSO+EGDS;CSO+EGDS;ALL;AP;437.4;438.2;449.4;479.8;110.6;111.6;111.6;111.7;111.6;111.6;111.6;111.6;Total In-House Workforce - FTEs
CSO+EGDS;CSO+EGDS;ALL;AP;327.9;325.6;337.7;370.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs
CSO+EGDS;CSO+EGDS;ALL;AP;-20.5;-45.8;-72.9;-52.6;-421.6;-458.9;-489.0;-520.1;-458.7;-451.6;-481.4;-494.5;Gap In-House - FTEs (Workforce vs Workload)
CSO+EGDS;CSO+EGDS;ALL;AP;75.0;74.3;75.1;77.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
CSO+EGDS;CSO+EGDS;ALL;AP;95.5;90.5;86.0;90.1;20.8;19.6;18.6;17.7;19.6;19.8;18.8;18.4;In House Coverage %
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;437.4;438.2;449.4;479.8;110.6;111.6;111.6;111.7;111.6;111.6;111.6;111.6;Total In-House Workforce - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;327.9;325.6;337.7;370.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total Insourcing - FTEs with TOPs
CSO+EGDS;CSO+EGDS;ALL;AP;-20.5;-45.8;-72.9;-52.6;-421.6;-458.9;-489.0;-520.1;-458.7;-451.6;-481.4;-494.5;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
CSO+EGDS;CSO+EGDS;ALL;AP;75.0;74.3;75.1;77.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
CSO+EGDS;CSO+EGDS;ALL;AP;95.5;90.5;86.0;90.1;20.8;19.6;18.6;17.7;19.6;19.8;18.8;18.4;In House Coverage % with TOPS
CSO+EGDS;CSO+EGDS;ALL;EUR;647.4;653.9;699.0;719.0;704.8;713.7;756.7;774.9;694.1;699.7;729.0;736.0;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
